Variables: 56, expected states 16777216
Computed state count: 547187354725515260
Start backward reachability: (states=1, size=63)
 >> (progress=90.19%%, states=157151846727680, size=881)
 >> (progress=90.19%%, states=157165134282752, size=847)
 >> (progress=90.19%%, states=157302841671680, size=819)
 >> (progress=90.19%%, states=157442562326528, size=827)
 >> (progress=90.19%%, states=157458265800704, size=797)
 >> (progress=90.19%%, states=157864140210176, size=759)
 >> (progress=90.20%%, states=158311890550784, size=527)
 >> (progress=90.90%%, states=282610324471808, size=899)
 >> (progress=90.91%%, states=285656194482176, size=1144)
 >> (progress=90.91%%, states=285706022813696, size=1134)
 >> (progress=90.91%%, states=285855507808256, size=1166)
 >> (progress=90.91%%, states=286154477797376, size=1241)
 >> (progress=90.91%%, states=286292587839488, size=1285)
 >> (progress=90.91%%, states=286394056441856, size=1291)
 >> (progress=90.95%%, states=295401072623616, size=1597)
 >> (progress=90.95%%, states=295619511975936, size=1507)
 >> (progress=90.95%%, states=296119607230464, size=1624)
 >> (progress=90.95%%, states=296513402044416, size=1766)
 >> (progress=90.96%%, states=297349310054400, size=1677)
 >> (progress=90.96%%, states=297422995587072, size=1697)
 >> (progress=90.96%%, states=297456415801344, size=1673)
 >> (progress=90.96%%, states=297937989009408, size=1649)
 >> (progress=90.96%%, states=298405469356032, size=1678)
 >> (progress=90.96%%, states=298648671879168, size=1736)
 >> (progress=90.96%%, states=298772286406656, size=1673)
 >> (progress=90.96%%, states=298774299672576, size=1683)
 >> (progress=90.96%%, states=298775910285312, size=1715)
 >> (progress=90.96%%, states=298779534163968, size=1695)
 >> (progress=90.96%%, states=298785171308544, size=1679)
 >> (progress=90.96%%, states=298802082742272, size=1663)
 >> (progress=90.96%%, states=298835905609728, size=1617)
 >> (progress=90.96%%, states=298855232962560, size=1593)
 >> (progress=90.96%%, states=298964754628608, size=1705)
 >> (progress=90.96%%, states=299074276294656, size=1687)
 >> (progress=90.96%%, states=299225673891840, size=1675)
 >> (progress=90.96%%, states=299402841292800, size=1679)
 >> (progress=90.97%%, states=299580008693760, size=1721)
 >> (progress=90.97%%, states=299825492918272, size=1584)
 >> (progress=90.97%%, states=299831935369216, size=1628)
 >> (progress=90.97%%, states=299838377820160, size=1586)
 >> (progress=90.97%%, states=299841599045632, size=1574)
 >> (progress=90.97%%, states=299857705172992, size=1536)
 >> (progress=90.97%%, states=299873811300352, size=1536)
 >> (progress=90.98%%, states=303816591278080, size=1548)
 >> (progress=90.98%%, states=304048519512064, size=1548)
 >> (progress=90.98%%, states=304280447746048, size=1588)
 >> (progress=90.98%%, states=304512375980032, size=1572)
 >> (progress=90.99%%, states=304744304214016, size=1576)
 >> (progress=90.99%%, states=305092196564992, size=1588)
 >> (progress=90.99%%, states=305440088915968, size=1537)
 >> (progress=90.99%%, states=305672017149952, size=1527)
 >> (progress=91.02%%, states=312766766252032, size=1418)
 >> (progress=91.02%%, states=313071172059136, size=1186)
 >> (progress=91.02%%, states=314308122640384, size=1158)
 >> (progress=91.03%%, states=315235835576320, size=1103)
 >> (progress=91.03%%, states=315390454398976, size=997)
 >> (progress=91.03%%, states=315995642134528, size=792)
 >> (progress=91.03%%, states=316623781101568, size=526)
 >> (progress=91.76%%, states=580800374374400, size=1031)
 >> (progress=91.86%%, states=628906155573248, size=947)
 >> (progress=91.86%%, states=631038204182528, size=957)
 >> (progress=91.86%%, states=631638560079872, size=1204)
 >> (progress=91.86%%, states=631647150014464, size=1248)
 >> (progress=91.86%%, states=631655739949056, size=1246)
 >> (progress=91.86%%, states=631672919818240, size=1234)
 >> (progress=91.86%%, states=631704444207104, size=1217)
 >> (progress=91.86%%, states=631799017373696, size=1235)
 >> (progress=91.86%%, states=632177310040064, size=1207)
 >> (progress=91.87%%, states=633208907497472, size=785)
 >> (progress=91.87%%, states=633247562203136, size=525)
 >> (progress=92.69%%, states=1256599519756288, size=636)
 >> (progress=92.70%%, states=1264021223243776, size=597)
 >> (progress=92.70%%, states=1269034255384576, size=758)
 >> (progress=92.70%%, states=1269721450151936, size=822)
 >> (progress=92.70%%, states=1269755809890304, size=824)
 >> (progress=92.70%%, states=1269790169628672, size=823)
 >> (progress=92.70%%, states=1269858889105408, size=817)
 >> (progress=92.70%%, states=1269961968320512, size=813)
 >> (progress=92.70%%, states=1270271205965824, size=809)
